timestamp,alert_type,region_id,detail,region_pixels,closest_mm,center_x,center_y
2026-05-21T16:20:57.583243,WARNING,WARNING_203_58_604,"HOT region in valid range | closest=253mm | center=(203,58)",604,253,203,58
2026-05-21T16:20:57.650919,CRITICAL,CRITICAL_203_50_716,"DANGEROUS region in valid range | closest=280mm | center=(203,50)",716,280,203,50
2026-05-21T16:20:57.650919,WARNING,WARNING_200_54_318,"HOT region in valid range | closest=280mm | center=(200,54)",318,280,200,54
2026-05-21T16:21:01.714179,CRITICAL,CRITICAL_43_124_393,"DANGEROUS region in valid range | closest=453mm | center=(43,124)",393,453,43,124
2026-05-21T16:21:01.714179,WARNING,WARNING_36_131_271,"HOT region in valid range | closest=452mm | center=(36,131)",271,452,36,131
2026-05-21T16:21:01.782428,CRITICAL,CRITICAL_56_116_663,"DANGEROUS region in valid range | closest=456mm | center=(56,116)",663,456,56,116
2026-05-21T16:21:01.782428,WARNING,WARNING_50_123_352,"HOT region in valid range | closest=454mm | center=(50,123)",352,454,50,123
2026-05-21T16:21:01.782428,WARNING,WARNING_28_152_11,"HOT region in valid range | closest=480mm | center=(28,152)",11,480,28,152
2026-05-21T16:21:01.858635,CRITICAL,CRITICAL_86_78_277,"DANGEROUS region in valid range | closest=899mm | center=(86,78)",277,899,86,78
2026-05-21T16:21:01.858635,WARNING,WARNING_85_79_266,"HOT region in valid range | closest=863mm | center=(85,79)",266,863,85,79
2026-05-21T16:21:02.248570,CRITICAL,CRITICAL_51_84_92,"DANGEROUS region in valid range | closest=479mm | center=(51,84)",92,479,51,84
2026-05-21T16:21:02.248570,WARNING,WARNING_53_73_435,"HOT region in valid range | closest=472mm | center=(53,73)",435,472,53,73
2026-05-21T16:21:02.288210,WARNING,WARNING_81_140_200,DANGEROUS region | TOO CLOSE | sensor range invalid,200,-1,81,140
2026-05-21T16:21:02.288210,WARNING,WARNING_67_105_29,"HOT region in valid range | closest=505mm | center=(67,105)",29,505,67,105
2026-05-21T16:21:02.288210,WARNING,WARNING_78_135_261,"HOT region in valid range | closest=503mm | center=(78,135)",261,503,78,135
