epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,23885.7,1.363,1.23707,1.39451,0.72624,0.68089,0.74064,0.40927,1.16963,1.90048,1.27473,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,24626.3,1.3681,1.22161,1.39299,0.73202,0.66988,0.74054,0.41343,1.16813,2.0697,1.21354,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,25367.1,1.34759,1.20546,1.3883,0.73843,0.67467,0.73738,0.41341,1.17157,1.93313,1.21103,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,26108.1,1.35365,1.19051,1.387,0.73785,0.68503,0.74576,0.4172,1.16784,1.98773,1.27391,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,26849.5,1.34179,1.18313,1.37505,0.73347,0.68124,0.74305,0.4165,1.16038,1.96858,1.26853,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,27591,1.3433,1.17877,1.37505,0.74588,0.67597,0.74772,0.42105,1.16331,1.89621,1.30403,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,28332.5,1.32169,1.15488,1.36375,0.7519,0.67317,0.75277,0.42567,1.17296,1.86463,1.29832,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,29075.1,1.31788,1.15085,1.36249,0.7501,0.68186,0.7509,0.42513,1.16748,1.83917,1.26818,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,29817.7,1.31875,1.13783,1.362,0.76248,0.67535,0.75005,0.42489,1.16671,1.81641,1.23458,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,30591.6,1.36991,1.08048,1.40225,0.74031,0.69137,0.75069,0.42408,1.1725,1.73875,1.24326,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,31333.1,1.35014,1.04841,1.38982,0.76572,0.68719,0.75131,0.42854,1.16288,1.66505,1.23925,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,32073.5,1.34052,1.02544,1.38246,0.74989,0.69552,0.75756,0.4336,1.15953,1.65548,1.22657,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,32814.5,1.33412,1.00995,1.38284,0.74839,0.70417,0.76068,0.4353,1.16635,1.66125,1.20721,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,33556.2,1.30962,0.98043,1.36398,0.75452,0.69597,0.76003,0.43463,1.15333,1.59333,1.19137,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,34297.8,1.30327,0.97428,1.36067,0.75146,0.69844,0.75815,0.43469,1.15796,1.54805,1.18703,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,35039.5,1.29193,0.96031,1.35157,0.7597,0.69638,0.75823,0.43384,1.16882,1.57775,1.22704,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,35782.3,1.27574,0.93633,1.34045,0.75716,0.70475,0.75994,0.43431,1.16663,1.52863,1.24126,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,36523.3,1.27328,0.92561,1.33727,0.74789,0.70956,0.76053,0.43543,1.16303,1.51453,1.24741,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,37265.7,1.27013,0.9196,1.33664,0.75945,0.70195,0.76307,0.43574,1.16717,1.49641,1.23565,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
